epoch,temp,humid
81,0.0110784,0.0110942
82,0.0070499,0.0067798
83,0.0050357,0.0036979
84,0.0040287,0.0036979
85,0.0040283,0.0036979
86,0.0060432,0.0036979
87,0.0030214,0.0036979
88,0.0090646,0.0036979
89,0.0060432,0.0036979
90,0.0070497,0.0036979
91,0.0080574,0.0049304
92,0.0050363,0.0049308
93,0.0070499,0.0086288
94,0.0030212,0.0086288
95,0.0020141,0.0049308
96,0.0020141,0.0049308
97,0.0030212,0.0061634
98,0.0141004,0.0067798
99,0.0100715,0.0049308
100,0.0040287,0.0110942
101,0.0030212,0.0061634
102,0.0110786,0.0049308
103,0.0120855,0.0061634
104,0.0100713,0.0036979
105,0.0120857,0.0061634
106,0.006043,0.0049308
107,0.0040287,0.0049308
108,0.0050354,0.0049308
109,0.008057,0.0049308
110,0.0070499,0.0049308
111,0.0100717,0.0098617
112,0.0080572,0.0061634
113,0.0100715,0.0036979
114,0.0100717,0.0036979
115,0.0120857,0.0086288
116,0.006043,0.0036979
117,0.0060428,0.0061634
118,0.0080574,0.0110942
119,0.0100711,0.0036979
120,0.0080574,0.0036979
121,0.0060428,0.0036979
122,0.0120861,0.0036979
123,0.0040287,0.0036979
124,0.0120859,0.0067798
125,0.0040287,0.0049308
126,0.0050354,0.0049308
127,0.0030212,0.0080123
128,0.0141004,0.0036987
129,0.0080574,0.0073966
130,0.0050355,0.0073966
131,0.0120857,0.0110954
132,0.0090641,0.0055473
133,0.008057,0.0055473
134,0.0050354,0.0036987
135,0.0040283,0.0055477
136,0.0050355,0.0061634
137,0.0060428,0.0049308
138,0.0080572,0.0067798
139,0.0100715,0.0086288
140,0.0060428,0.0086288
141,0.0100711,0.0086288
142,0.0130929,0.0086288
143,0.0110786,0.0086288
144,0.008057,0.0036979
145,0.0050354,0.0061634
146,0.0130929,0.0061634
147,0.0100713,0.0036979
148,0.0080574,0.0036979
149,0.0100715,0.0036979
150,0.0060428,0.0110942
151,0.0040283,0.0086288
152,0.008057,0.0135597
153,0.0090644,0.0086288
154,0.0100711,0.0049308
155,0.0050354,0.0049308
156,0.0050357,0.0049308
157,0.0060424,0.0049308
158,0.0100711,0.0049308
159,0.0090641,0.0049308
160,0.0080566,0.0049308
161,0.0060428,0.0049308
162,0.0100717,0.0049308
163,0.0060428,0.0098617
164,0.0060428,0.0110942
165,0.0040283,0.0024654
166,0.0040283,0.0024654
167,0.008057,0.0061634
168,0.0120859,0.0049308
169,0.0171218,0.0067798
170,0.0050357,0.0036979
171,0.0120861,0.0036979
172,0.0040287,0.0086288
173,0.0120861,0.0036979
174,0.0080572,0.0036979
175,0.0120857,0.0110939
176,0.0100715,0.0104778
177,0.0,0.0049308
178,0.0100711,0.0049308
179,0.0040283,0.0067798
180,0.0120855,0.0123268
181,0.0100717,0.0086288
182,0.008057,0.0036979
183,0.0060424,0.0036979
184,0.0050354,0.0067798
185,0.0090641,0.0049308
186,0.0080568,0.0049308
187,0.0080572,0.0049308
188,0.0040283,0.0049308
189,0.0030212,0.0049308
190,0.0060424,0.0098617
191,0.0020141,0.0086288
192,0.0050354,0.0086288
193,0.0030212,0.0086288
194,0.0020141,0.0061634
195,0.0110782,0.0036979
196,0.0100715,0.0067798
197,0.0050357,0.0049308
198,0.0060428,0.0086288
199,0.0100715,0.0086288
200,0.0070499,0.0086288
201,0.0060428,0.0086288
202,0.0130931,0.0049308
203,0.0070495,0.0067798
204,0.0090641,0.0086288
205,0.0090641,0.0123268
206,0.0060426,0.0036979
207,0.0070497,0.0036979
208,0.0110788,0.0086288
209,0.0080572,0.0067798
210,0.0100715,0.0049308
211,0.008057,0.0067798
212,0.0030212,0.0061634
213,0.0050354,0.0049308
214,0.0080566,0.0086288
215,0.0060424,0.0086288
216,0.0060424,0.0049308
217,0.0060426,0.0049308
218,0.0120859,0.0049308
219,0.0100715,0.0049308
220,0.001007,0.0024654
221,0.0020141,0.0036979
222,0.0030212,0.0086288
223,0.0030212,0.0086288
224,0.0040283,0.0036979
225,0.0030212,0.0061634
226,0.0060426,0.0067798
227,0.0100715,0.0086288
228,0.0141002,0.0036979
229,0.0141004,0.0036979
230,0.0080572,0.0110942
231,0.0030216,0.0086288
232,0.0060424,0.0049308
233,0.0060428,0.0104778
234,0.0020141,0.0067798
235,0.0070505,0.0123268
236,0.0030218,0.0067798
237,0.0070501,0.0086288
238,0.0080574,0.0172573
239,0.0181282,0.0049304
240,0.0060428,0.0172569
241,0.0060424,0.0080123
242,0.0100711,0.0049308
243,0.0080574,0.0036979
