epoch,temp,humid
86,0.0141,0.0203395
87,0.0040283,0.0067798
88,0.0030212,0.0086288
89,0.0040285,0.0067794
90,0.0080574,0.0012329
91,0.0040287,0.006163
92,0.0060428,0.0036979
93,0.0080574,0.012326
94,0.0100711,0.0135581
95,0.0040287,0.006163
96,0.0080574,0.0049301
97,0.0040287,0.0086288
98,0.008057,0.0049301
99,0.0040287,0.006163
100,0.0100715,0.0049301
101,0.0020141,0.0049301
102,0.0100715,0.006163
103,0.0050354,0.0080123
104,0.0070495,0.0086288
105,0.0050354,0.0098617
106,0.008057,0.0061637
107,0.008057,0.0043144
108,0.0050354,0.0067794
109,0.0030212,0.0086288
110,0.0080566,0.0086288
111,0.0040283,0.0036987
112,0.0040283,0.0036987
113,0.0040283,0.0036987
114,0.0040283,0.0061641
115,0.0030212,0.0086296
116,0.0070495,0.0049308
117,0.0060424,0.0086296
118,0.0030212,0.0049308
119,0.0050354,0.011095
120,0.0020141,0.0086296
121,0.0040283,0.0036987
122,0.0100711,0.0036987
123,0.0110784,0.0098617
124,0.0030214,0.0073959
125,0.0100711,0.0061637
126,0.0060424,0.0036987
127,0.0050354,0.0061641
128,0.0030212,0.0073966
129,0.0060424,0.0086296
130,0.0070495,0.0086296
131,0.0060424,0.0086292
132,0.0120861,0.0117111
133,0.006043,0.0067794
134,0.0120861,0.0147918
135,0.0040287,0.006163
136,0.0130929,0.006163
137,0.0130931,0.0080123
138,0.0070499,0.0049301
139,0.0040283,0.0067794
140,0.0060424,0.0036987
141,0.0070495,0.0036987
142,0.0050354,0.0036987
143,0.0030212,0.0036987
144,0.0030212,0.0073966
145,0.0050357,0.0086288
146,0.0040285,0.0073966
147,0.0040285,0.0073966
148,0.0090641,0.0036987
149,0.0070495,0.0049316
150,0.0060428,0.0036987
151,0.0090644,0.0098617
152,0.0040283,0.0086288
153,0.0110786,0.0036987
154,0.0050354,0.0086288
155,0.008057,0.0086296
156,0.0090637,0.011095
157,0.0100711,0.0073966
158,0.0070495,0.0098617
159,0.0070499,0.0086296
160,0.0070499,0.0086296
161,0.0060428,0.0104778
162,0.0070499,0.0080127
163,0.0020141,0.0067798
164,0.0060424,0.0036979
165,0.0040283,0.0055469
166,0.0040283,0.0073959
167,0.0040285,0.0036979
168,0.0060426,0.0036979
169,0.0060426,0.0036979
170,0.0040285,0.0036979
171,0.0020141,0.0086288
172,0.0050354,0.0086288
173,0.0040283,0.0110942
174,0.0030214,0.0086288
175,0.0080572,0.0049308
176,0.0080572,0.0073963
177,0.006043,0.0049308
178,0.0080574,0.0049308
179,0.0040287,0.0049308
180,0.0040283,0.0098617
181,0.0060424,0.0073963
182,0.0060424,0.0049308
183,0.0020141,0.0049308
184,0.0040283,0.0049308
185,0.0060428,0.0049308
186,0.0100715,0.0073963
