epoch,temp,humid
201,0.0130928,0.0338993
202,0.008057,0.0203395
203,0.0040287,0.0326663
204,0.0050357,0.0308174
205,0.0050354,0.0154087
206,0.001007,0.0369812
207,0.0040287,0.0308177
208,0.0060432,0.0080123
209,0.0020141,0.0265029
210,0.0050354,0.0320499
211,0.0050357,0.0351322
212,0.0060428,0.0067798
213,0.0030212,0.0104778
214,0.0020143,0.0073959
215,0.0060426,0.0104778
216,0.0050354,0.0363643
217,0.0070503,0.0123271
218,0.0050361,0.0234218
219,0.0060428,0.0178741
220,0.0020141,0.0123271
221,0.0070505,0.0166416
222,0.0030214,0.0073959
223,0.0030214,0.0067798
224,0.0080577,0.0036979
225,0.0070505,0.0036979
226,0.0020141,0.0036987
227,0.0060428,0.0073974
228,0.0070505,0.0018493
229,0.0070505,0.0123271
230,0.0020145,0.0154087
231,0.0080577,0.0086288
232,0.0030214,0.0221881
233,0.0050359,0.0098621
234,0.0030214,0.0086288
235,0.0050363,0.0104778
236,0.0050359,0.0135597
237,0.0050359,0.0073959
238,0.0040287,0.0086288
239,0.0010072,0.0086288
240,0.004029,0.0086288
241,0.0030218,0.0191066
242,0.0050354,0.0123268
243,0.0020141,0.0086288
244,0.0050361,0.0141765
245,0.0040287,0.0234214
246,0.004029,0.0098617
247,0.004029,0.0117107
248,0.0120861,0.0036979
249,0.0050363,0.0240375
250,0.0020145,0.0129436
251,0.0030214,0.0123268
252,0.0161148,0.0073959
253,0.0141002,0.0036987
254,0.0090642,0.0073974
255,0.0110788,0.0073966
256,0.0151071,0.0073974
257,0.0181285,0.0055473
258,0.0020145,0.0123271
259,0.0090642,0.0073959
260,0.0141002,0.0234214
261,0.02115,0.0203395
262,0.0171213,0.0098617
263,0.0140998,0.0049308
264,0.0060428,0.0086288
265,0.0020141,0.0049308
266,0.0020141,0.0104778
267,0.0140998,0.0129428
268,0.0221569,0.0018489
269,0.0120857,0.0067798
270,0.008057,0.0073959
271,0.0070499,0.0061637
272,0.0161142,0.0055469
273,0.0050355,0.0086288
274,0.0171211,0.0086288
275,0.0151069,0.0049308
